pid,os,platform,model,submodel
2501FRAD-FX,ios,c2k,c2500,
2501LANFRAD-FX,ios,c2k,c2500,
8201,iosxr,spitfire,8200,
8201-32FH,iosxr,spitfire,8200,
8202,iosxr,spitfire,8200,
8202-32FH-M,iosxr,spitfire,8200,
8804,iosxr,spitfire,8800,
8808,iosxr,spitfire,8800,
8812,iosxr,spitfire,8800,
8818,iosxr,spitfire,8800,
ASR-9001,iosxr,asr9k,asr9000,
ASR-9001-S,iosxr,asr9k,asr9000,
ASR-9006-SYS,iosxr,asr9k,asr9000,
ASR-9010-SYS,iosxr,asr9k,asr9000,
ASR-9901,iosxr,asr9k,asr9900,
ASR-9903,iosxr,asr9k,asr9900,
ASR-9904,iosxr,asr9k,asr9900,
ASR-9906,iosxr,asr9k,asr9900,
ASR-9910,iosxr,asr9k,asr9900,
ASR-9912,iosxr,asr9k,asr9900,
ASR-9922,iosxr,asr9k,asr9900,
ASR1001,iosxe,asr1k,asr1000,
ASR1001-2XOC3POS,iosxe,asr1k,asr1000,
ASR1001-4X1GE,iosxe,asr1k,asr1000,
ASR1001-4XT3,iosxe,asr1k,asr1000,
ASR1001-8XCHT1E1,iosxe,asr1k,asr1000,
ASR1001-HDD,iosxe,asr1k,asr1000,
ASR1002,iosxe,asr1k,asr1000,
ASR1002-F,iosxe,asr1k,asr1000,
ASR1004,iosxe,asr1k,asr1000,
ASR1006,iosxe,asr1k,asr1000,
ASR1006-X,iosxe,asr1k,asr1000,
ASR1013,iosxe,asr1k,asr1000,
C1000-16FP-2G-L,iosxe,cat1k,c1000,
C1000-16P-2G-L,iosxe,cat1k,c1000,
C1000-16P-E-2G-L,iosxe,cat1k,c1000,
C1000-16T-2G-L,iosxe,cat1k,c1000,
C1000-16T-E-2G-L,iosxe,cat1k,c1000,
C1000-24FP-4G-L,iosxe,cat1k,c1000,
C1000-24FP-4X-L,iosxe,cat1k,c1000,
C1000-24P-4G-L,iosxe,cat1k,c1000,
C1000-24P-4X-L,iosxe,cat1k,c1000,
C1000-24PP-4G-L,iosxe,cat1k,c1000,
C1000-24T-4G-L,iosxe,cat1k,c1000,
C1000-24T-4X-L,iosxe,cat1k,c1000,
C1000-48FP-4G-L,iosxe,cat1k,c1000,
C1000-48FP-4X-L,iosxe,cat1k,c1000,
C1000-48P-4G-L,iosxe,cat1k,c1000,
C1000-48P-4X-L,iosxe,cat1k,c1000,
C1000-48PP-4G-L,iosxe,cat1k,c1000,
C1000-48T-4G-L,iosxe,cat1k,c1000,
C1000-48T-4X-L,iosxe,cat1k,c1000,
C1000-8FP-2G-L,iosxe,cat1k,c1000,
C1000-8FP-E-2G-L,iosxe,cat1k,c1000,
C1000-8P-2G-L,iosxe,cat1k,c1000,
C1000-8P-E-2G-L,iosxe,cat1k,c1000,
C1000-8T-2G-L,iosxe,cat1k,c1000,
C1000-8T-E-2G-L,iosxe,cat1k,c1000,
